Confirmed Cases in Scotland by Health Board

Health board,Date,4/3,5/3,6/3,7/3,8/3,9/3,1/30/3,11/3,12/3,13/3,14/3,15/3,16/3,17/3,18/3,19/3,20/3,21/3,22/3,23/3,24/3,25/3,26/3,27/3,28/3,29/3,,,
Ayrshire & Arran,,,,1,1,1,1,1,3,4,4,6,6,7,6,9,12,16,21,25,34,41,57,74,75,90,108,,,
Borders,,,,,,,,,2,2,3,5,7,7,7,7,8,9,10,11,12,12,15,23,28,35,50,,,
Dumfries and Galloway,,,,,,,,,,,,,,1,1,4,6,10,13,16,18,26,31,39,47,60,63,,,
Fife,,,,2,2,2,2,2,2,3,4,6,7,7,7,8,9,12,13,16,19,25,29,40,41,51,58,,,
Forth Vlley,,,,2,2,2,2,2,2,6,6,6,10,10,12,15,17,23,27,30,40,43,59,75,81,95,94,,,
Grampian,,,,3,4,4,4,6,6,7,11,9,12,12,22,24,18,19,20,23,24,24,29,31,45,52,62,,,
Greater Glasgow and Clyde,,,,1,2,2,3,3,5,10,21,31,39,44,49,57,71,91,110,130,152,183,221,258,299,376,401,,,
Highland,,,,,,,,,,,,1,2,2,5,5,6,6,8,8,12,13,22,39,33,36,42,,,
Lanarkshire,,,,,2,2,3,3,4,7,7,10,16,20,21,25,33,41,49,49,58,75,87,114,140,165,184,,,
Lothian,,,,,2,2,5,7,8,11,20,25,28,29,30,33,35,40,44,46,59,70,88,111,139,151,188,,,
Shetland,,,,,,,2,2,3,6,6,11,11,15,15,16,24,24,24,24,24,24,24,24,24,27,27,,,
Tayside,,,,1,1,1,1,1,2,4,3,11,15,17,20,24,27,31,34,38,47,48,57,76,107,107,107,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total tests,,1043,1256,1525,1680,1957,2101,2234,2316,2892,3314,3715,4240,4895,5246,6091,6772,7550,8259,8679,9364,9968,10676,11487,12273,13133,13889,,,
Positive,,3,6,11,16,18,23,27,36,60,85,121,153,171,195,227,266,322,373,416,499,584,719,894,1059,1245,12505,,,
Negative,,,1250,1514,1664,1939,2078,2207,2280,2832,3229,3594,4087,4724,5051,5864,6506,7228,7886,8263,8865,9384,9957,10593,11214,1188,1384,,,
Deaths,,,,,,,,,,,1,1,1,1,2,3,6,6,7,10,14,16,22,25,33,40,41,,,
